period,accessionyear,dateend,title,url,division,century,objectnumber,totaluniquepageviews,datebegin,culture,imagepermissionlevel,rank,id,department
,2011.0,1909,"Charity, Children: Belgium. Antwerp. ""Diesterweg"": Ville d'Anvers. Cercle d'enseignement ""Diesterweg"": Caisse de Secours pour écoliers nécessiteux - Soupe-et Colonies Scolaires: Recettes et Dépenses",https://www.harvardartmuseums.org/collections/object/158845,Modern and Contemporary Art,19th-20th century,3.2002.612,1,1899,European?,0,10339,158845,Department of Photographs
,1943.0,0,Fragment from Mount Kyeryong,https://www.harvardartmuseums.org/collections/object/332388,Asian and Mediterranean Art,14th century,1943.43.14.A-J,12,0,Korean,0,67286,332388,Department of Asian Art
,1993.0,1990,"Ultimately, My Goal is to Reform...",https://www.harvardartmuseums.org/collections/object/258797,Modern and Contemporary Art,20th century,M22121,0,1990,American,1,223755,258797,Department of Prints
"Qing dynasty, 1644-1911",1985.0,1899,Page from an album: Finding of a Dalai Lama,https://www.harvardartmuseums.org/collections/object/48145,Asian and Mediterranean Art,19th century,1985.863.4,26,1800,Chinese,0,109402,48145,Department of Asian Art
,2011.0,1875,"Untitled (bust length portrait of man with moustache labeled J. J. Myers, '75)",https://www.harvardartmuseums.org/collections/object/155091,European and American Art,19th century,2.2002.3910,1,1874,Canadian,0,7155,155091,Department of Photographs
,1938.0,0,Watching the Watchdog Commission,https://www.harvardartmuseums.org/collections/object/270204,European and American Art,19th century,M8853,3,0,French,0,210615,270204,Department of Prints
"Edo period, 1615-1868",1933.0,0,PORTRAIT HEAD OF ACTOR,https://www.harvardartmuseums.org/collections/object/206790,Asian and Mediterranean Art,,1933.4.2584,13,0,Japanese,0,59546,206790,Department of Asian Art
,,0,East Door of Baptistery of Florence,https://www.harvardartmuseums.org/collections/object/274461,European and American Art,19th century,G2270,1,0,Italian,0,194465,274461,Department of Prints
,,1888,Untitled (Viscountess Holmesdale; verso: Marquess of Abergavenny 1897),https://www.harvardartmuseums.org/collections/object/317565,European and American Art,19th century,P1982.359.89,22,1862,British,0,239247,317565,Department of Photographs
,1911.0,0,Norman Courtyard,https://www.harvardartmuseums.org/collections/object/262860,Modern and Contemporary Art,20th century,M300,1,0,American,0,201303,262860,Department of Prints
,,0,"""Tanner of Hemp and Linen,"" plate 32",https://www.harvardartmuseums.org/collections/object/238904,European and American Art,17th century,R8087,4,0,French,0,251324,238904,Department of Prints
,1992.0,1900,"Fishermen, Ostende",https://www.harvardartmuseums.org/collections/object/250352,European and American Art,19th-20th century,M21957,10,1900,Belgian,1,222661,250352,Department of Prints
,2011.0,1942,Untitled (woman at reception desk for insurance company),https://www.harvardartmuseums.org/collections/object/136467,Modern and Contemporary Art,20th century,4.2002.5799,1,1932,American,1,24971,136467,Department of Photographs
,1934.0,0,Letter P,https://www.harvardartmuseums.org/collections/object/271026,European and American Art,16th century,M7864,0,0,French,0,209690,271026,Department of Prints
,,0,Two Hands and One Foot,https://www.harvardartmuseums.org/collections/object/234941,European and American Art,17th century,S7.152.9,2,0,Italian,0,259059,234941,Department of Prints
,2001.0,0,[Watercolor by Lyonel Feininger],https://www.harvardartmuseums.org/collections/object/56631,Modern and Contemporary Art,20th century,BRLF.676.8.1,0,0,,1,181054,56631,Busch-Reisinger Museum
,1944.0,1791,Hill Bridge near Owlerton,https://www.harvardartmuseums.org/collections/object/254595,European and American Art,18th century,M20295,3,1791,British,0,220821,254595,Department of Prints
,2011.0,1956,Untitled (room with empty tables and chairs),https://www.harvardartmuseums.org/collections/object/142689,Modern and Contemporary Art,20th century,4.2002.218,4,1956,American,1,18882,142689,Department of Photographs
,2019.0,1982,"Untitled (bleed-through of previous page, left page); Untitled (blank, right page)",https://www.harvardartmuseums.org/collections/object/369673,Modern and Contemporary Art,20th century,2019.25.32,0,1982,German,0,143441,369673,Busch-Reisinger Museum
,,0,Cupids at Play,https://www.harvardartmuseums.org/collections/object/240193,European and American Art,18th century,R7860,11,0,French,0,251093,240193,Department of Prints
,1938.0,0,"While you are in your right mind, read this letter",https://www.harvardartmuseums.org/collections/object/93522,European and American Art,18th century,M9223,4,0,French,0,210985,93522,Department of Prints
,1976.0,1972,"Rennie Booher, Danville, Virginia",https://www.harvardartmuseums.org/collections/object/284979,Modern and Contemporary Art,20th century,P1976.13,15,1972,American,1,237656,284979,Department of Photographs
,2011.0,1959,Untitled (three photographs: girl in gown being crowned Miss New Hampshire 1959; woman presenting girl in striped gown a trophy at Miss New Hampshire pageant; woman and girl in striped gown holding trophy posing for picture at Miss New Hampshire pageant),https://www.harvardartmuseums.org/collections/object/119277,Modern and Contemporary Art,20th century,4.2002.22934,7,1959,American,0,41314,119277,Department of Photographs
"Edo period, 1615-1868",1933.0,0,Actor TAKINAKA KASSEN,https://www.harvardartmuseums.org/collections/object/207306,Asian and Mediterranean Art,,1933.4.2335,8,0,Japanese,0,59298,207306,Department of Asian Art
,1990.0,0,"Title page, from the portfolio ""ars viva 90/91""",https://www.harvardartmuseums.org/collections/object/19913,Modern and Contemporary Art,20th century,1990.94.A,1,0,German,1,113323,19913,Busch-Reisinger Museum
,,0,"Head of a Young Man Wearing a Helmet and, in Another Orientation, Head of an Old Man",https://www.harvardartmuseums.org/collections/object/235276,European and American Art,17th century,S7.161.6,2,0,Italian,0,259140,235276,Department of Prints
"Shōwa period, 1926-1989",1989.0,1986,Page from Hagoromo (Feathered Robe),https://www.harvardartmuseums.org/collections/object/19158,Asian and Mediterranean Art,20th century,1989.18.5,4,1984,Japanese,0,112871,19158,Department of Asian Art
,,1937,"Untitled (CIO workers, Warren, Ohio)",https://www.harvardartmuseums.org/collections/object/173400,Modern and Contemporary Art,20th century,P1970.4406.5,5,1937,American,0,235670,173400,Department of Photographs
,,0,Landscape with a Pond,https://www.harvardartmuseums.org/collections/object/240081,European and American Art,18th century,R7234,4,0,French,0,250505,240081,Department of Prints
,,1931,[Trip to Brittany],https://www.harvardartmuseums.org/collections/object/44360,Modern and Contemporary Art,20th century,BRLF.114.12,2,1931,German,1,168720,44360,Busch-Reisinger Museum
,2011.0,1962,Untitled (fashion portrait of woman in formal dress with bows and two black stripes),https://www.harvardartmuseums.org/collections/object/132584,Modern and Contemporary Art,20th century,4.2002.9789,0,1961,American,0,28866,132584,Department of Photographs
,,1960,"Untitled (Barong Dance, Bali)",https://www.harvardartmuseums.org/collections/object/280743,Modern and Contemporary Art,20th century,P1970.5222,0,1960,American,0,236834,280743,Department of Photographs
,,1960,"Untitled (Borobudur, Java)",https://www.harvardartmuseums.org/collections/object/301952,Modern and Contemporary Art,20th century,P1970.2236,0,1960,American,0,232829,301952,Department of Photographs
,1963.0,0,Untitled [Figures],https://www.harvardartmuseums.org/collections/object/160812,Modern and Contemporary Art,20th century,BR63.4010,2,0,German?,1,158507,160812,Busch-Reisinger Museum
,2011.0,1921,"Piz Kesch. looking south from just behind Keschhütte, The Engadine",https://www.harvardartmuseums.org/collections/object/157082,Modern and Contemporary Art,20th century,2.2002.2333,1,1921,,0,5812,157082,Department of Photographs
,,1840,"""2000 francs...with no stable, that won't do!""",https://www.harvardartmuseums.org/collections/object/269553,European and American Art,19th century,M17643,0,1840,French,0,218209,269553,Department of Prints
,2019.0,2017,"Ear lightly touched with feather while sleeping, 1877",https://www.harvardartmuseums.org/collections/object/366564,Modern and Contemporary Art,21st century,2019.296.35,1,2017,American,0,144066,366564,Department of Prints
,,1943,"Gropius Residence, Lincoln, Massachusetts, 1938",https://www.harvardartmuseums.org/collections/object/51923,Modern and Contemporary Art,20th century,BRGA.82.270,0,1933,American,0,165274,51923,Busch-Reisinger Museum
,2011.0,1933,"Untitled (family of fourteen standing outside church under sign, ""Bless The Lord"")",https://www.harvardartmuseums.org/collections/object/129345,Modern and Contemporary Art,20th century,4.2002.12985,0,1933,American,1,32042,129345,Department of Photographs
,,1933,"[Farm buildings near Deep, Baltic Coast]",https://www.harvardartmuseums.org/collections/object/38004,Modern and Contemporary Art,20th century,BRLF.431.25,0,1932,German,1,175080,38004,Busch-Reisinger Museum
"Muromachi period, 1392-1568",1947.0,0,"One of a Pair of Shinto Lion-Dogs (Koma inu), with Mouth Closed (Un-gyō)",https://www.harvardartmuseums.org/collections/object/204227,Asian and Mediterranean Art,14th-15th century,1947.72.A,10,0,Japanese,0,72095,204227,Department of Asian Art
Byzantine period,1951.0,0,Bulgarian Copper(?) Imitation of Tetarteron of Manuel I (Class A),https://www.harvardartmuseums.org/collections/object/74808,Asian and Mediterranean Art,12th century,1951.31.4.1863,4,0,Bulgarian,0,75217,74808,Department of Ancient and Byzantine Art & Numismatics
,2011.0,1956,Untitled (doll in toy fire truck),https://www.harvardartmuseums.org/collections/object/127216,Modern and Contemporary Art,20th century,4.2002.14968,0,1956,American,0,33855,127216,Department of Photographs
,2011.0,1979,Untitled (Pt. Richmond),https://www.harvardartmuseums.org/collections/object/331942,Modern and Contemporary Art,20th century,2.2002.5197,3,1979,American,0,8441,331942,Department of Photographs
,2011.0,1955,Untitled (man with Kellogg's products and advertisements),https://www.harvardartmuseums.org/collections/object/122463,Modern and Contemporary Art,20th century,4.2002.19635,0,1945,American,0,39375,122463,Department of Photographs
,,1752,"""Quos Ego"" Neptune Quelling the Storm",https://www.harvardartmuseums.org/collections/object/275864,European and American Art,18th century,G863,224,1752,French,0,193180,275864,Department of Prints
,1999.0,1936,"Food Industry. Pages from the Album (El Lissitzky and Sophie Küppers Lissitzky, designers)",https://www.harvardartmuseums.org/collections/object/28599,Modern and Contemporary Art,20th century,1999.58.17,2,1936,Russian,1,120446,28599,Busch-Reisinger Museum
,2011.0,1910,Untitled (eight men and one woman standing and seated on porch),https://www.harvardartmuseums.org/collections/object/138252,Modern and Contemporary Art,20th century,4.2002.3899,0,1900,American,1,23073,138252,Department of Photographs
,1932.0,0,Virgin Mary Crowned by the Trinity,https://www.harvardartmuseums.org/collections/object/251345,European and American Art,15th century,M5472,8,0,German,0,207303,251345,Department of Prints
,,1794,Two Calves,https://www.harvardartmuseums.org/collections/object/247899,European and American Art,18th century,R6059,5,1794,German,0,249414,247899,Department of Prints
,2011.0,1951,Untitled (eight family members in formal wear posed in living room),https://www.harvardartmuseums.org/collections/object/133099,Modern and Contemporary Art,20th century,4.2002.9350,0,1951,American,0,28427,133099,Department of Photographs
,2008.0,0,The Passage of Theuerdank and Ehrenhold Is Opposed by Fürwittig at the First Barrier,https://www.harvardartmuseums.org/collections/object/362346,European and American Art,16th century,2008.326.12,0,0,German,0,133356,362346,Department of Prints
,,1934,"Untitled (Civil Works Administration demonstration, New York City)",https://www.harvardartmuseums.org/collections/object/188460,Modern and Contemporary Art,20th century,P1970.4243.1,0,1933,American,0,234892,188460,Department of Photographs
"Classical period, High",,-400,Trihemiobol of Stratos,https://www.harvardartmuseums.org/collections/object/171091,Asian and Mediterranean Art,5th century BCE,1.1965.1464,4,-432,Greek,0,1932,171091,Department of Ancient and Byzantine Art & Numismatics
,,0,Landscape with Ruins,https://www.harvardartmuseums.org/collections/object/243783,European and American Art,18th century,R7669,17,0,Italian,0,250907,243783,Department of Prints
,1943.0,1632,Draw-top Table,https://www.harvardartmuseums.org/collections/object/228913,European and American Art,17th century,1943.1587,3,1600,Dutch,0,70343,228913,"Department of Paintings, Sculpture & Decorative Arts"
,2011.0,1905,"Charity, Public: United States. Massachusetts. Bridgewater. State Farm: State Farm: Long Ward 22 Beds.",https://www.harvardartmuseums.org/collections/object/312917,Modern and Contemporary Art,19th-20th century,3.2002.2711.3,1,1895,American,0,15811,312917,Department of Photographs
