objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
P1972.25,4,American,1,237264,1967-1969,285430,"Cotton Picker: Ten Years, Robbery and Assault",https://www.harvardartmuseums.org/collections/object/285430
2005.180.6,51,German,1,125632,c. 1897,1427,The Guards of the Rose Garden,https://www.harvardartmuseums.org/collections/object/1427
M6377,2,German,0,208208,16th century,255241,Zechariah I,https://www.harvardartmuseums.org/collections/object/255241
2007.184.2.424.5,3,American,0,129852,1967-68,326002,"Untitled (sun setting over hills and hazy clouds, Vietnam)",https://www.harvardartmuseums.org/collections/object/326002
4.2002.2628,2,American,0,21777,1951,139438,Untitled (view of house from front with garage open and dog in street),https://www.harvardartmuseums.org/collections/object/139438
3.2002.2659.2,1,German,0,15580,c. 1903,6229,"Social Settlements: Germany. Hamburg. Volksheim: Volksheim, Hamburg, Germany.: Club Room.",https://www.harvardartmuseums.org/collections/object/6229
1969.100,10,Italian,0,89340,17th century,296081,Landscape,https://www.harvardartmuseums.org/collections/object/296081
1985.115,4,Egyptian,0,107355,,99858,Fragment with Flowers and Putti,https://www.harvardartmuseums.org/collections/object/99858
2.2002.3599,21,Scottish,0,6824,1913,155781,Tangier & Spain  1913 (Thursday 17th to Tuesday 22nd April),https://www.harvardartmuseums.org/collections/object/155781
M1777,0,Italian,0,202591,16th century,258955,Letter M,https://www.harvardartmuseums.org/collections/object/258955
4.2002.14043,0,American,0,32969,"c. 1950, printed later",128537,Untitled (two couples in dresses and tuxedos sitting at table at party),https://www.harvardartmuseums.org/collections/object/128537
2017.119.60,0,French,0,141242,18th century,359004,The Stroll,https://www.harvardartmuseums.org/collections/object/359004
S9.105.3,26,Italian,0,259960,1590,236421,"A Standing Horse, Viewed Frontally",https://www.harvardartmuseums.org/collections/object/236421
R9444,18,French,0,252577,19th century,241700,Alfred Cadart,https://www.harvardartmuseums.org/collections/object/241700
M25982,4,American,1,229311,2002,69990,Untitled #6,https://www.harvardartmuseums.org/collections/object/69990
S10.16,38,Dutch,0,259999,1656,93167,Gellius de Bouma,https://www.harvardartmuseums.org/collections/object/93167
3.2002.1352.2,1,German?,0,11998,c. 1903,19459,"Defectives, Epileptics: Germany. Bielefeld. Kolonie Bethel: Anstalt Bethel (Philanthropic Institutions established by Pastor von Bodelschwingh), Bielefeld, Germany: Bethel bei Bielefeld. Nazareth",https://www.harvardartmuseums.org/collections/object/19459
M7626,0,French,0,209452,16th century,271649,Letter O,https://www.harvardartmuseums.org/collections/object/271649
1993.68,28,American,0,115060,c. 1901,310074,Two Women and Child,https://www.harvardartmuseums.org/collections/object/310074
M6169,1,Italian,0,208000,15th century,252485,Letter A,https://www.harvardartmuseums.org/collections/object/252485
1.1965.181,32,Greek,0,650,276 BCE - 272 BCE,197046,Stater of Tarentum,https://www.harvardartmuseums.org/collections/object/197046
2009.53,801,American,1,201,1974,331589,Stairs,https://www.harvardartmuseums.org/collections/object/331589
R8673,19,German,0,251873,18th-19th century,246780,Herdsman Driving Sheep and Goats,https://www.harvardartmuseums.org/collections/object/246780
BRGA.38.24,2,German,0,163195,1929,168633,"Montage House, 1929: Ceiling detail, 1:2",https://www.harvardartmuseums.org/collections/object/168633
1976.40.181,4,Roman Provincial,0,92948,3rd century CE,184619,Antoninianus of Antioch under Claudius Gothicus,https://www.harvardartmuseums.org/collections/object/184619
R10234,1,British,0,253206,19th century,243941,Matlock Bath,https://www.harvardartmuseums.org/collections/object/243941
M26206,9,Netherlandish,0,229558,c. 1570,55834,That Really Is a Big Deal (Spinstress and Poulterer),https://www.harvardartmuseums.org/collections/object/55834
M21987.107,1,French,0,223001,1849,263742,An apostle of socialism,https://www.harvardartmuseums.org/collections/object/263742
M23063,13,American,1,224957,1987,254182,Study for Square Dance,https://www.harvardartmuseums.org/collections/object/254182
CW2001.786.59,2,American,0,189078,1974-1975,71322,Three sketches for sculpture,https://www.harvardartmuseums.org/collections/object/71322
1936.154.71,2,American,0,62986,1886,307486,"Landscape with Bridge, Promontogno, Switzerland",https://www.harvardartmuseums.org/collections/object/307486
8.1955.166,64,American,0,42636,c. 1812,305706,"Plaster Right Hand; verso: Male Torso, for ""Dead Man Revived...""",https://www.harvardartmuseums.org/collections/object/305706
1933.4.2159,2,Japanese,0,59127,,207383,Actor BANDO MITSUGORO 1ST,https://www.harvardartmuseums.org/collections/object/207383
4.2002.21555,1,American,0,39932,1952,120898,Untitled (class portrait of students outside),https://www.harvardartmuseums.org/collections/object/120898
