objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
R9731,0,British,0,252849,19th century,244920,Girl by the River,https://www.harvardartmuseums.org/collections/object/244920
M13841,18,American,0,214438,1867,256451,Homeward - Bound,https://www.harvardartmuseums.org/collections/object/256451
Straus.4137,9,,0,265698,,343630,"X-radiograph(s) of ""Christ Blessing, Salvator Mundi""",https://www.harvardartmuseums.org/collections/object/343630
M21315.5,26,French,0,221870,1789,264964,The Brave Maillard Reaches for the 'Propositions des Assiégés' on a Plank Suspended over the Moat of the Bastille (14 July 1789),https://www.harvardartmuseums.org/collections/object/264964
4.2002.22769,1,American,0,41149,1963,119691,Untitled (four photographs: women modeling wedding dresses in bridal fashion show),https://www.harvardartmuseums.org/collections/object/119691
3.2002.2800,0,American,0,16169,c. 1903,152625,"Social Settlements: United States. District of Columbia. Washington. ""Social Settlement"": Agencies Promoting Assimilation of the Negro. The Social Settlement, Washington, D.C.",https://www.harvardartmuseums.org/collections/object/152625
2019.11,3,German,0,143303,1976-1977,363141,Sketchbook: Walker art center,https://www.harvardartmuseums.org/collections/object/363141
M24967.50,8,Italian,0,227814,1641,176152,"Carl Emmanuel, Duke of Sabaudia",https://www.harvardartmuseums.org/collections/object/176152
1946.22.1,7,American,0,71681,19th-20th century,308176,Sketch of a Woman in a Hat,https://www.harvardartmuseums.org/collections/object/308176
4.2002.7448,0,American,0,26525,1937,134856,"Untitled (parents and children gathered near porch, Princeton University reunion, Princeton, NJ)",https://www.harvardartmuseums.org/collections/object/134856
4.2002.10046,0,American,0,29123,1960,132362,Untitled (portrait of older woman lit against black background),https://www.harvardartmuseums.org/collections/object/132362
BRLF.1008.43,1,American,1,182971,1940s-1950s,9752,[Facade],https://www.harvardartmuseums.org/collections/object/9752
1943.677,90,British,0,69286,1870,297555,"Head of a Young Woman (Study for ""The Hesperides""?)",https://www.harvardartmuseums.org/collections/object/297555
2007.184.2.30.3,2,American,0,127579,1967-68,322270,"Untitled (aerial view of helicopters taking off from clearing, Vietnam)",https://www.harvardartmuseums.org/collections/object/322270
1996.78.3,1,German,1,118771,1984,218290,"[Untitled] from the portfolio ""Zeichen aus dem Braunraum""",https://www.harvardartmuseums.org/collections/object/218290
P1970.580,5,American,0,231179,July 1938-August 1938,284859,Untitled (central Ohio),https://www.harvardartmuseums.org/collections/object/284859
CW2001.241,0,American,0,188269,20th century,171936,"Object file, estate: Sigh, 1979, (W257), drawing",https://www.harvardartmuseums.org/collections/object/171936
Straus.5794,1,,0,267354,,345287,"X-radiograph(s) of ""Portrait of a Lady""",https://www.harvardartmuseums.org/collections/object/345287
P1977.11,1,American?,0,237771,c. 1900,283912,Dr. Francis Marion Woods,https://www.harvardartmuseums.org/collections/object/283912
2000.198.49,0,,0,121490,,101978,Islamic Coin,https://www.harvardartmuseums.org/collections/object/101978
G1768,24,German,0,193983,19th century,276634,The Adoration of the Wise Men from the Orient,https://www.harvardartmuseums.org/collections/object/276634
1.1965.891,7,Greek,0,1359,400 BCE-370 BCE,188301,"Decadrachm of Syracuse, from the Santa Maria di Licodia 1890 Hoard?",https://www.harvardartmuseums.org/collections/object/188301
1981.107,169,American,0,103404,c. 1900-1903,227484,Angel,https://www.harvardartmuseums.org/collections/object/227484
1958.67,119,Uzbek,0,82985,mid 16th century,167829,"Lovers with Wine (painting, verso); Love Poetry (calligraphy, recto), folio from an album, right-hand side of a bifolio",https://www.harvardartmuseums.org/collections/object/167829
M24031,11,Brazilian,1,226153,1998,194332,"Untitled, from ""Edge of Awareness"" porfolio",https://www.harvardartmuseums.org/collections/object/194332
2.2002.2670,8,,0,6148,1923,156580,"Morgenhorn, Weisse Frau, Bernese Oberland",https://www.harvardartmuseums.org/collections/object/156580
M23823,20,American,0,225939,1974,212264,Demijohn,https://www.harvardartmuseums.org/collections/object/212264
G8658,23,German,0,199063,16th century,276620,Madonna and Child under an Arch,https://www.harvardartmuseums.org/collections/object/276620
1983.56.256,12,Roman Provincial,0,104610,238-244,177057,Coin of Metropolis under Gordian III,https://www.harvardartmuseums.org/collections/object/177057
G3537,20,British,0,195605,19th century,278977,Portraits of the Family of Monte Catini,https://www.harvardartmuseums.org/collections/object/278977
Straus.4872,1,,0,266433,,344365,"X-radiograph(s) of ""Landscape""",https://www.harvardartmuseums.org/collections/object/344365
1987.32.32,1,Greek,0,111851,275 BCE-250 BCE,181261,Coin of Pantikapaion,https://www.harvardartmuseums.org/collections/object/181261
HNA104,16,American,0,200375,1908,305322,William Butler Yeats (1865-1939),https://www.harvardartmuseums.org/collections/object/305322
4.2002.15958.1,0,American,0,35214,1962,319544,Untitled (man in control room),https://www.harvardartmuseums.org/collections/object/319544
4.2002.4168,3,American,1,23342,1940,138044,Untitled (young girls and boys with matching outfits standing at banquet table with Christmas tree in background),https://www.harvardartmuseums.org/collections/object/138044
1986.540.115,3,Greek,0,111309,367 BCE-344 BCE,177231,Hemidrachm of Syracuse,https://www.harvardartmuseums.org/collections/object/177231
M7679,1,French,0,209505,16th century,271063,Letter Q,https://www.harvardartmuseums.org/collections/object/271063
BR49.108,2,German,1,150558,1933,225704,Study of a Female Nude,https://www.harvardartmuseums.org/collections/object/225704
G5758,49,British,0,197636,19th century,273569,Adam and Eve,https://www.harvardartmuseums.org/collections/object/273569
G1980,2,Dutch,0,194176,1742,274503,General Ireton,https://www.harvardartmuseums.org/collections/object/274503
4.2002.14133,4,American,1,33020,"c. 1940, printed later",128202,Untitled (two men in cowboy hats standing by Esso pump in front of barn),https://www.harvardartmuseums.org/collections/object/128202
8.1955.87,38,American,0,42557,1830,305586,"Spalatro's Head, for ""Spalatro's Vision of the Bloody Hand""",https://www.harvardartmuseums.org/collections/object/305586
3.2002.3548.1,0,American,0,18367,1896,314705,"Races, Jews: United States. New Jersey. Woodbine. Baron de Hirsch Agricultural and Industrial School: Woodbine Settlement and School, Woodbine, N.J. Baron de Hirsch Fund.: 42. General View of Industries, 1896.",https://www.harvardartmuseums.org/collections/object/314705
1951.31.4.678,1,Byzantine,0,74031,588-589 CE,145731,Coin of Maurice Tiberius,https://www.harvardartmuseums.org/collections/object/145731
1931.101,93,American,0,56160,1900,306533,"Study of Lady Charles Russell (Adah Williams),  verso:  Study for Sitwell Family portrait",https://www.harvardartmuseums.org/collections/object/306533
M21990.18,0,French,0,223453,1846,264214,A Reply is Requested by Return Mail,https://www.harvardartmuseums.org/collections/object/264214
BR63.1593,9,German,1,156089,9/17/1913,217745,"Untitled [Study for ""Schloss-gasse""]",https://www.harvardartmuseums.org/collections/object/217745
M10085,9,American,0,211788,1920,255788,"Lion Gardiner House, Easthampton",https://www.harvardartmuseums.org/collections/object/255788
M10650,1,British,0,212324,19th century,253978,Marengo,https://www.harvardartmuseums.org/collections/object/253978
R605NA,5,British,0,244391,18th-19th century,249435,Dolgelley,https://www.harvardartmuseums.org/collections/object/249435
1928.56.4,14,Chinese,0,54532,,209216,FIVE SHALLOW BOWLS FROM THAN HOA,https://www.harvardartmuseums.org/collections/object/209216
1995.1035,3,Roman,0,117678,216 CE,195739,Denarius of Caracalla,https://www.harvardartmuseums.org/collections/object/195739
1956.86.A,52,Chinese,0,82421,5th-3rd century BCE,203404,"Covered Ritual Wine Pouring Vessel (He) with Handle, Spout, and Feet in the form of Animals",https://www.harvardartmuseums.org/collections/object/203404
2014.429,18,Japanese,1,138411,2002,351704,Pine Trees (left  and right scroll),https://www.harvardartmuseums.org/collections/object/351704
2017.130,6,German,0,141378,1929,357605,Road with Yellow Postal Carriage,https://www.harvardartmuseums.org/collections/object/357605
2010.290,3,,1,134680,1932,317194,Windy Summer Day at Ostsee,https://www.harvardartmuseums.org/collections/object/317194
M23830,63,American,1,225946,1969,194725,Paper Plate (1),https://www.harvardartmuseums.org/collections/object/194725
BR52.357,0,,0,153376,20th century,219886,One of 28 slides of prints,https://www.harvardartmuseums.org/collections/object/219886
M16894,1,French,0,217465,1843,268885,An Electrified Warrior,https://www.harvardartmuseums.org/collections/object/268885
2007.184.2.303.5,1,American,0,129181,1967-68,325443,"Untitled (soldier lying on back looking into tube, Vietnam)",https://www.harvardartmuseums.org/collections/object/325443
M4912,13,British,1,206749,1926,257153,Eve,https://www.harvardartmuseums.org/collections/object/257153
BRLF.287.15,1,German,1,172405,1935-1939,194647,"[Shore, reflected clouds, Baltic Coast]",https://www.harvardartmuseums.org/collections/object/194647
1925.6.4,7,Roman,0,53269,1st century CE,292132,Wall painting fragment,https://www.harvardartmuseums.org/collections/object/292132
1.1965.1004,8,Greek,0,1472,500 BCE-490 BCE,187913,Trihemiobol of Aigai,https://www.harvardartmuseums.org/collections/object/187913
1976.79.670,28,Roman,0,94079,337-340,184613,"Consecration Coin of Constantine I, Heraclea",https://www.harvardartmuseums.org/collections/object/184613
R10331,3,French,0,253269,19th century,94193,The Village Fete,https://www.harvardartmuseums.org/collections/object/94193
H710,25,American,0,199996,1907,305162,Henry Pickering Bowditch (1840-1911),https://www.harvardartmuseums.org/collections/object/305162
G4948,8,Italian,0,196911,16th century,279440,Adoration of the Magi,https://www.harvardartmuseums.org/collections/object/279440
4.2002.9586,1,American,0,28663,1955-1957,132874,Untitled (young woman looking at poster advertising hayride inside school),https://www.harvardartmuseums.org/collections/object/132874
1997.166,3,Roman Provincial,0,119399,217-218 CE,212956,Coin of Side under Macrinus,https://www.harvardartmuseums.org/collections/object/212956
1933.4.2672,28,Japanese,0,59634,"Edo period,",206780,Two Women and Small Child Catching Goldfish,https://www.harvardartmuseums.org/collections/object/206780
1998.98.5,1,American,1,120112,1994,198136,Victim Mentality (Insecure),https://www.harvardartmuseums.org/collections/object/198136
4.2002.8456,0,American,0,27533,1940,134031,Untitled (man dancing with woman in a fur),https://www.harvardartmuseums.org/collections/object/134031
2007.163,23,American,0,127144,"August 12, 1936",320299,Grand Opera House,https://www.harvardartmuseums.org/collections/object/320299
1936.153.118,3,American,0,62805,1918,307442,Male Nude with Left Leg Drawn Up,https://www.harvardartmuseums.org/collections/object/307442
101.2000.3,29,Italian,0,47523,c. 1771-1777,175980,"Interior with Pillars, Stairways and Pseudo-Greek Wall Tablets",https://www.harvardartmuseums.org/collections/object/175980
M1344,0,French,0,202157,16th century,252612,Initial O,https://www.harvardartmuseums.org/collections/object/252612
4.2002.22631,0,American,0,41011,1925,119507,Untitled (two children and a dog outside by large potted plant),https://www.harvardartmuseums.org/collections/object/119507
2007.214.32.2,3,Japanese,0,131422,"Late Edo period, tenth month of 1861",318736,"Transit of an American Steam Locomotive (Amerika koku jōkisha ōrai), published by Maruya Jimpachi",https://www.harvardartmuseums.org/collections/object/318736
M2869.11.44,0,Italian,0,204111,18th century,58713,Side view of the same vase,https://www.harvardartmuseums.org/collections/object/58713
3.2002.850,2,American,0,10771,c. 1900,158351,"Charity, Organizations: United States. Missouri. St. Louis. Provident Association: St. Louis Provident Association, St. Louis, Mo.",https://www.harvardartmuseums.org/collections/object/158351
1986.609.129,0,,0,111625,,78431,Sherd of pink clay,https://www.harvardartmuseums.org/collections/object/78431
1947.12,62,Japanese,0,71840,18th century,203553,LADY PLAYING BALL,https://www.harvardartmuseums.org/collections/object/203553
4.2002.4004,0,American,1,23178,c.1937,138390,Untitled (Genest's Bread bread company employees on front step of building),https://www.harvardartmuseums.org/collections/object/138390
BRLF.664.6,3,German,1,180305,c. 1930,29803,"[""Mole II,"" 1925, drawing by Lyonel Feininger]",https://www.harvardartmuseums.org/collections/object/29803
Straus.6258,0,,0,267818,,345751,"X-radiograph(s) of ""Portrait of a Man""",https://www.harvardartmuseums.org/collections/object/345751
G8750,16,French,1,199159,c. 1906,275676,Nudes in a Landscape,https://www.harvardartmuseums.org/collections/object/275676
P1982.409.25.1,1,Unidentified culture,0,239825,1880-1889,330549,"Untitled (group of men on scaffolding, buildings in the background)",https://www.harvardartmuseums.org/collections/object/330549
1951.31.4.2214,1,Byzantine,0,75568,1280-1297 CE,182881,Asper of John II of Trebizond,https://www.harvardartmuseums.org/collections/object/182881
2.2002.4878,3,European,0,8123,c. 1890 - c. 1915,154615,"Untitled (square in Hintersdorf, Austria, clock tower on large building right of center)",https://www.harvardartmuseums.org/collections/object/154615
R3676,11,German,0,247411,19th century,242623,Christ Blessing Little Children,https://www.harvardartmuseums.org/collections/object/242623
3.2002.561.5,0,American,0,10220,c. 1900,314386,"Housing, Improved: United States. Massachusetts. Waltham. Massachusetts Building Permits: Heating Permit. City of Waltham.",https://www.harvardartmuseums.org/collections/object/314386
1967.79.622,4,American,0,88396,1950,6367,Study for “The Mellow Pad”,https://www.harvardartmuseums.org/collections/object/6367
1944.13.1,5,American,0,71182,19th century,308156,"Lake with Boats, Trees and Ducks",https://www.harvardartmuseums.org/collections/object/308156
M12899,22,Dutch,0,213588,1639,262113,Self-Portrait Leaning on a Stone Sill,https://www.harvardartmuseums.org/collections/object/262113
1985.912.8,2,Chinese,0,109585,,48792,Calligraphy Album Leaf,https://www.harvardartmuseums.org/collections/object/48792
1995.915,4,Roman,0,117558,201 CE,196204,Denarius of Septimius Severus,https://www.harvardartmuseums.org/collections/object/196204
BRLF.589.8,0,German,1,179829,1938-1944,33786,"[Rural landscape, New England]",https://www.harvardartmuseums.org/collections/object/33786
2011.613.252,2,Netherlandish,0,136180,1580-85,342560,The Great Commandment,https://www.harvardartmuseums.org/collections/object/342560
M15610,20,French,0,216168,1822,265748,Caux Horse,https://www.harvardartmuseums.org/collections/object/265748
1985.246,26,Ottoman,0,107523,1722,215379,"Calligrapher's License, folio from an album",https://www.harvardartmuseums.org/collections/object/215379
1977.216.2247,3,Etruscan,0,97398,c. 600-570 BCE,291155,Bucchero Footed Kyathos,https://www.harvardartmuseums.org/collections/object/291155
1929.133,6,American,1,55309,1919,306422,Return of the 27th Division,https://www.harvardartmuseums.org/collections/object/306422
1977.216.3353,0,,0,98467,,289423,"REPRODCUTION OF A STONE VASE, FOUND AT MOCHLOS. (M CHLOS H I I J)",https://www.harvardartmuseums.org/collections/object/289423
1.1965.517,14,Greek,0,986,350 BCE-300 BCE,188922,Diobol of Lokroi Epizephyrioi,https://www.harvardartmuseums.org/collections/object/188922
M24967.18,17,Italian,0,227782,1641,175667,The Customary Sacrifice Offered by the Military at the Triumphal Gate of the City,https://www.harvardartmuseums.org/collections/object/175667
3.2002.1103,1,American,0,11359,c. 1900,154054,"Charity, Public: United States. New York. Poughkeepsie. County Almshouse: Almshouses of Poughkeepsie County, N.Y.",https://www.harvardartmuseums.org/collections/object/154054
1995.863,0,Roman,0,117506,197 CE,195696,Denarius of Septimius Severus,https://www.harvardartmuseums.org/collections/object/195696
M265,1,French,0,201271,1863,265404,Air,https://www.harvardartmuseums.org/collections/object/265404
1977.216.2123.186.F,0,Greek,0,96877,3rd c. BCE - 2nd c. BCE,195930,One of Seven Non-Joining Fragments of Megarian Ware,https://www.harvardartmuseums.org/collections/object/195930
2015.24.16,3,Portuguese,0,138704,2015,353084,"Boston from ""Materials Lab""",https://www.harvardartmuseums.org/collections/object/353084
1995.1169.474,1,Korean,0,118382,13th century,96773,Sherd: Fragment of a Vessel,https://www.harvardartmuseums.org/collections/object/96773
S4.7.1,2,French,0,257679,17th century,234523,"Chariot Course on the Piazza della Santa Maria Novella, Florence",https://www.harvardartmuseums.org/collections/object/234523
4.2002.19598,0,American,1,39338,1956,122930,Untitled (girl on stage next to piano),https://www.harvardartmuseums.org/collections/object/122930
1977.216.2123.12,0,Greek,0,96670,,199034,Fragment of a Red-figure Kylix,https://www.harvardartmuseums.org/collections/object/199034
4.2002.735,6,American,0,19839,c. 1925,157662,Untitled (woman with Budweiser),https://www.harvardartmuseums.org/collections/object/157662
3.2002.2891.2,1,American,0,16379,c. 1903,313338,"Social Settlements: United States. Illinois. Chicago. ""South Parks"": South Parks, Chicago, Ill.: A Restaurant.",https://www.harvardartmuseums.org/collections/object/313338
M18810,0,French,0,219369,1854,267135,From Within a Shop in Saint Petersburg...,https://www.harvardartmuseums.org/collections/object/267135
M13012,14,French,1,213700,19th-20th century,272588,The Artists' Bridge,https://www.harvardartmuseums.org/collections/object/272588
1924.65.36.L,5,Central Asian,0,52964,,209792,Stippled Votive Stupa,https://www.harvardartmuseums.org/collections/object/209792
M18320,0,French,0,218882,1864,266638,"""Where are you going ? The hare...""",https://www.harvardartmuseums.org/collections/object/266638
BRLF.201.16,0,German,1,170931,1936,42234,"[Narrow alleyway with woman walking, Stockholm]",https://www.harvardartmuseums.org/collections/object/42234
1992.256.56,25,Hittite,0,114550,15th-13th century BCE,304203,Arrowhead,https://www.harvardartmuseums.org/collections/object/304203
2006.298,19,American,0,126678,c. 1940s,317928,Girl,https://www.harvardartmuseums.org/collections/object/317928
BRLF.496.2,2,American,1,177049,1950's,36126,[Desk by window with venetian blinds],https://www.harvardartmuseums.org/collections/object/36126
1951.31.4.1013,1,Byzantine,0,74367,686-687 CE,75242,Coin of Justinian II,https://www.harvardartmuseums.org/collections/object/75242
BRLF.679.54,6,American,1,181291,1940s,319934,[Double exposure: plants; rural landscape],https://www.harvardartmuseums.org/collections/object/319934
1979.428.673,2,German,0,101577,1851,179286,Half Kreuzer Coin,https://www.harvardartmuseums.org/collections/object/179286
BRLF.542.8,0,American,1,178333,late 1940s-early 1950s,35468,"[Shoreline, Plymouth, Massachusetts]",https://www.harvardartmuseums.org/collections/object/35468
M2869.21.64,0,Italian,0,204663,18th century,57655,Philosopher,https://www.harvardartmuseums.org/collections/object/57655
M2154,127,French,0,202963,1829,303461,Royal Tiger,https://www.harvardartmuseums.org/collections/object/303461
BR53.29,3,Swedish,1,153452,1952,223708,Vase,https://www.harvardartmuseums.org/collections/object/223708
4.2002.15681.2,0,American,0,34739,c. 1950,319495,"Untitled (dog dressed up in dress, paws on box)",https://www.harvardartmuseums.org/collections/object/319495
Straus.643,0,,0,262019,,327253,Lithophon,https://www.harvardartmuseums.org/collections/object/327253
2012.1.48,10,Etruscan,0,136361,3rd-2nd Century BCE,178171,Sacrificing Woman on a Base,https://www.harvardartmuseums.org/collections/object/178171
1936.153.99,2,American,0,62786,1932,307298,Head of a Youth,https://www.harvardartmuseums.org/collections/object/307298
Straus.4910,0,,0,266471,,344403,"X-radiograph(s) of ""Christ in Glory""",https://www.harvardartmuseums.org/collections/object/344403
BR57.33,12,German,1,154061,1950,223558,"Variation of Forms I/V, from ""6 Color Woodcuts""",https://www.harvardartmuseums.org/collections/object/223558
M26552,4,Swiss,0,230192,1581,5327,Lot and His Daughters,https://www.harvardartmuseums.org/collections/object/5327
P1970.40,3,American,0,230654,July 1938-August 1938,300100,"Untitled (Circleville, Ohio)",https://www.harvardartmuseums.org/collections/object/300100
1910.12.1.81,25,Italian,0,50052,19th century,99715,"Barberini Faun, after antiquity",https://www.harvardartmuseums.org/collections/object/99715
P1970.3791,0,American,0,234345,1932-1935,173280,"Untitled (Sixth Avenue, New York City)",https://www.harvardartmuseums.org/collections/object/173280
Straus.6884,0,,0,268443,,346377,X-radiograph(s),https://www.harvardartmuseums.org/collections/object/346377
BR71.140,18,German,0,159984,19th-20th century,219650,Sketch of a Man Playing a Lute,https://www.harvardartmuseums.org/collections/object/219650
1995.1169.264,0,Korean,0,118141,,97343,Korean Sherd,https://www.harvardartmuseums.org/collections/object/97343
1953.59.C,8,Netherlandish,0,81538,16th century,232634,Saint Barbara (right panel),https://www.harvardartmuseums.org/collections/object/232634
BRLF.126.22,5,German,1,169039,1933-1937,44042,"[Buildings, night view, Siemensstadt]",https://www.harvardartmuseums.org/collections/object/44042
M15169,6,American,1,215631,20th century,257515,Composition,https://www.harvardartmuseums.org/collections/object/257515
1984.432.9,1,Nepalese,0,105774,1714,360144,"One Leaf from ""Buddhist Manuscript: Collection of Dharanis"" (Folio )",https://www.harvardartmuseums.org/collections/object/360144
BRLF.534.20,0,American,1,178069,1950,35363,[Blurred],https://www.harvardartmuseums.org/collections/object/35363
1942.176.143,9,Roman Imperial,0,66366,70 CE,197310,"Denarius of Vespasian, Rome",https://www.harvardartmuseums.org/collections/object/197310
3.2002.2884,1,American,0,16362,c. 1903,152489,"Social Settlements: United States. Illinois. Chicago. ""South Halsted Street Institutional Church"": South Halsted St. Institutional Church, Chicago, Ill.: Institutional Church Building",https://www.harvardartmuseums.org/collections/object/152489
1949.101,38,Etruscan,0,72572,,291608,Votive Pig,https://www.harvardartmuseums.org/collections/object/291608
G5010,10,Italian,0,196972,c. 1465,276978,Luna,https://www.harvardartmuseums.org/collections/object/276978
BRLF.545.21,2,,1,178459,unknown,35014,[Matted and framed watercolor],https://www.harvardartmuseums.org/collections/object/35014
2007.184.2.316.3,1,American,0,129256,1967-68,325505,"Untitled (surfing, Vietnam)",https://www.harvardartmuseums.org/collections/object/325505
R9267,15,French,0,252419,19th century,240146,Rembrandt,https://www.harvardartmuseums.org/collections/object/240146
4.2002.18151,0,American,1,37860,1949,124382,Untitled (photograph of baby),https://www.harvardartmuseums.org/collections/object/124382
M17182,0,French,0,217751,19th century,269576,"""A lightening storm!""",https://www.harvardartmuseums.org/collections/object/269576
1976.79.680,6,Roman,0,94088,307-310,183251,"Follis of Constantius I, London",https://www.harvardartmuseums.org/collections/object/183251
1992.283,249,Indian,0,114853,c. 1540,213690,"Krishna Subdues the Serpent King Kaliya, folio from an album of the Bhagavata Purana (Ancient Stories of the Lord)",https://www.harvardartmuseums.org/collections/object/213690
Straus.783,0,,0,262160,,328570,Oxide of chromium,https://www.harvardartmuseums.org/collections/object/328570
1978.9,29,French,0,98841,16th-17th century,295997,Abbé d'Etremont,https://www.harvardartmuseums.org/collections/object/295997
P1995.20,4,American,1,240535,1993,172489,Colorbar,https://www.harvardartmuseums.org/collections/object/172489
1985.352.41.A,75,Japanese,0,108235,"Muromachi period, datable to 1509-1510",199843,"The Seer (Maboroshi), Illustration to Chapter 41 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/199843
M25239,2,German,1,228276,2001,144732,Beijing Zahn,https://www.harvardartmuseums.org/collections/object/144732
2.2002.4652,2,European,0,7897,c. 1890 - c. 1915,154590,"Untitled (courtyard with ivy growing from second floor balcony, Steyr, Austria)",https://www.harvardartmuseums.org/collections/object/154590
M3418,7,American,0,205266,1926,257428,The Seabird,https://www.harvardartmuseums.org/collections/object/257428
1964.30,91,French,0,86366,1635,296766,"Grand Parterre of the Luxembourg Palace; verso: Panorama North of Paris, near Montmorency",https://www.harvardartmuseums.org/collections/object/296766
BRLF.170.8,1,German,1,170083,1931,43151,"[Storefront, Brittany]",https://www.harvardartmuseums.org/collections/object/43151
R11226,7,Italian,0,253757,19th century,249827,Paolo Toschi,https://www.harvardartmuseums.org/collections/object/249827
1934.94,38,Italian,0,60466,1530-1570,227635,Christ Appearing to the Apostles; lunette: The Resurrection of Christ,https://www.harvardartmuseums.org/collections/object/227635
2006.169.4.1,10,Chinese,0,126029,12th-13th century,320282,Dish with Foliate Rim (One of Two),https://www.harvardartmuseums.org/collections/object/320282
1983.18,8,American,1,104306,early 1960s,310161,Cupid and Psyche,https://www.harvardartmuseums.org/collections/object/310161
G5595,0,Italian,0,197493,16th century,276886,"Illustration from J. B. Porta, Magiae Naturalis (?)",https://www.harvardartmuseums.org/collections/object/276886
1982.100.134,8,Roman Provincial,0,104128,81-96,141236,Coin of Caesarea Mazaca under Domitian,https://www.harvardartmuseums.org/collections/object/141236
4.2002.1908,4,American,0,21011,1925,140552,Untitled (workers at American Express Company),https://www.harvardartmuseums.org/collections/object/140552
Straus.7028,0,,0,268587,,346521,"X-radiograph(s) of """"Lynn"" Gentleman""",https://www.harvardartmuseums.org/collections/object/346521
1980.85.248,4,Greek,0,102295,187-185 BCE,183126,Coin of Arados,https://www.harvardartmuseums.org/collections/object/183126
CW2001.13,4,American,0,188036,20th century,171799,"Object file, estate: Even, 1969, (W10.2), sculpture",https://www.harvardartmuseums.org/collections/object/171799
2006.170.76,11,Chinese,0,126116,c. 4300-2600 BCE,174784,Mallet shaped bottle,https://www.harvardartmuseums.org/collections/object/174784
M18446,0,French,0,219007,1865,266708,"""Don't move...! you are perfect that way""",https://www.harvardartmuseums.org/collections/object/266708
1933.4.1554,41,Japanese,0,58516,"Edo period,",207863,Actor Otani Oniji AS OMORI KOHICHI,https://www.harvardartmuseums.org/collections/object/207863
1951.31.4.555,1,Byzantine,0,73908,565-578 CE,50717,Coin of Justin II,https://www.harvardartmuseums.org/collections/object/50717
Straus.7271,0,,0,268830,,346764,"X-radiograph(s) of ""Saint Blaise""",https://www.harvardartmuseums.org/collections/object/346764
4.2002.7270,1,American,0,26347,c. 1945,135178,"Untitled (three men drinking juice at ""Florida Citrus Juices"" stand)",https://www.harvardartmuseums.org/collections/object/135178
4.2002.21676,0,American,0,40053,c. 1950,120499,Untitled (baby in chair next to stuffed bunny),https://www.harvardartmuseums.org/collections/object/120499
1898.459,21,"Italian, Venetian",0,49585,18th century,299740,Head of a Bearded Man; verso: Head Studies,https://www.harvardartmuseums.org/collections/object/299740
4.2002.14609,0,American,0,33496,c. 1950,127751,Untitled (city street at night),https://www.harvardartmuseums.org/collections/object/127751
M23793,7,British,1,225905,1918,212035,The Lady with Rings,https://www.harvardartmuseums.org/collections/object/212035
1977.216.2123.102,1,Mycenaean,0,96778,2nd millennium BCE,198825,Fragment of a Vessel,https://www.harvardartmuseums.org/collections/object/198825
BRLF.114.2,0,German,1,168710,1931,43855,[Trip to Brittany],https://www.harvardartmuseums.org/collections/object/43855
R225NA,17,American,0,244005,c. 1870,250101,Chelsea Bridge and Church,https://www.harvardartmuseums.org/collections/object/250101
S3.11.10,8,French,0,256888,17th century,233960,Prodigal Son Receives New Riches,https://www.harvardartmuseums.org/collections/object/233960
4.2002.10475,0,American,0,29580,1959,131937,Untitled (man on roof of unfinished structure),https://www.harvardartmuseums.org/collections/object/131937
3.2002.2951.3,0,American,0,16568,c. 1900,313466,"Crime, Children, Truant Schools: United States. Massachusetts. Oakdale. Worcester County Truant School: Worcester County Truant School, Oakdale, Frank L. Johnson, Superintendent.: View of Drive, Pasture and Playground.",https://www.harvardartmuseums.org/collections/object/313466
P1970.1265,1,American,0,231864,October 1935,301181,"Untitled (Moose Hall, Purseglove or Liberty, Scotts Run, West Virginia)",https://www.harvardartmuseums.org/collections/object/301181
BRLF.212.10,0,German,1,171194,1936-1937,41774,[People on train observation platform],https://www.harvardartmuseums.org/collections/object/41774
S3.15.1,4,French,0,256936,17th century,234316,Saint Anthony,https://www.harvardartmuseums.org/collections/object/234316
M24130,89,American,1,226327,1973,194234,Red White and Blue: collograph plate,https://www.harvardartmuseums.org/collections/object/194234
4.2002.5167,1,American,0,24341,1940,137204,Untitled (West Point Island; Fred's Boathouse sign),https://www.harvardartmuseums.org/collections/object/137204
1933.4.378,25,Japanese,0,57301,,208694,Actor Segawa Kikujirō AS A WOMAN,https://www.harvardartmuseums.org/collections/object/208694
G1800,1,German,0,194012,18th-19th century,276319,Charles V,https://www.harvardartmuseums.org/collections/object/276319
1967.79.624,4,American,0,88398,1950,6414,Study for “The Mellow Pad”,https://www.harvardartmuseums.org/collections/object/6414
G8230,16,French,0,198647,1848,274855,"""Husbands aren't what most folks think!""",https://www.harvardartmuseums.org/collections/object/274855
M26281,4,American,0,229701,1990,92273,Printing Block: Untitled (Blue),https://www.harvardartmuseums.org/collections/object/92273
1965.505,13,Islamic,0,87221,19th century,216622,Carpet,https://www.harvardartmuseums.org/collections/object/216622
M2869.10.42,5,Italian,0,204053,18th century,59189,View of the bridge known as Ponte Molle,https://www.harvardartmuseums.org/collections/object/59189
P1970.2351,2,American,0,232944,"February 2, 1960-February 17, 1960",302012,"Untitled (Barong Dance, Bali)",https://www.harvardartmuseums.org/collections/object/302012
